Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
QYLMUUFP,blogPost,2021,,Census questions and Americans' identities,Pew Research Center’s Social & Demographic Trends Project,,,,https://www.pewresearch.org/social-trends/2021/05/14/only-about-half-of-americans-say-census-questions-reflect-their-identity-very-well/,"When Americans were asked to describe their race and ethnicity in their own words, most provided answers that correspond to standard Census Bureau",5/14/21,7/16/21 16:06,7/16/21 16:06,7/1/21 21:04,,,,,,,,,,,,,,en-US,,,,,,,,,/Users/gabe/Zotero/storage/H59BIGS4/only-about-half-of-americans-say-census-questions-reflect-their-identity-very-well.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME6QJPMS,journalArticle,2007,"Shih, Margaret; Bonam, Courtney; Sanchez, Diana; Peck, Courtney",The social construction of race: Biracial identity and vulnerability to stereotypes.,Cultural Diversity and Ethnic Minority Psychology,,"1939-0106, 1099-9809",10.1037/1099-9809.13.2.125,http://doi.apa.org/getdoi.cfm?doi=10.1037/1099-9809.13.2.125,"Multiracial individuals are more likely to have a heightened awareness of race as a social construct than monoracial individuals. This article examines the impact that a heightened awareness of race as a social construct has on the relationship between racial stereotypes and performance. Study 1 finds that multiracial individuals reported subscribing less to the notion that race biologically determines ability. Study 2 finds that monoracial individuals show stereotype activation, whereas multiracial individuals show stereotype inhibition in reaction to race salience. Study 3 draws on the work on stereotypes and performance to test the susceptibility of multiracial individuals to racial stereotypes about ability. The authors find that Asian/White and Black/White multiracial individuals were less susceptible to racial stereotypes than monoracial individuals. Whereas monoracial participants showed significant performance changes in reaction to race salience, multiracial individuals did not. Study 4 finds that emphasizing the social construction of race buffers individuals from stereotype threat effects.",2007-04,7/16/21 16:06,7/16/21 16:06,6/1/21 1:18,125-133,,2,13,,Cultural Diversity and Ethnic Minority Psychology,The social construction of race,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/54PDHGQ7/Shih et al. - 2007 - The social construction of race Biracial identity.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94WK7QWL,journalArticle,2020,"DaCosta, Kimberly A.","Multiracial Categorization, Identity, and Policy in (Mixed) Racial Formations",Annual Review of Sociology,,"0360-0572, 1545-2115",10.1146/annurev-soc-121919-054649,https://www.annualreviews.org/doi/10.1146/annurev-soc-121919-054649,"This article examines recent developments in the literature on multiracial categorization, policy, and identity—one that has grown as data on multiracial populations have become widely available, particularly in the United States since the enumeration of multiple race responses was instituted in Census 2000. Significant new research takes advantage of the data generated by the Census providing new insights to questions and claims about the meanings of mixedness and racial boundaries in the United States that were largely speculative even a decade ago. Though this review focuses primarily on issues related to how state enumeration of mixed race populations reflects and engenders particular identity and group configurations, I also discuss emerging research on interracial intimacy—intermarriage and interracial births—the phenomena from which contemporary attention to multiracial categorization and identity arise. An increasingly internationalist discussion is challenging long-held interpretations of the meaning of intermarriage and multiracial identification for understanding emergent racial formations.",7/30/20,7/16/21 16:06,7/16/21 16:06,4/8/21 0:33,335-353,,1,46,,Annu. Rev. Sociol.,,,,,,,,en,,,,,DOI.org (Crossref),,,,"/Users/gabe/Zotero/storage/8L6Y6TQC/DaCosta - 2020 - Multiracial Categorization, Identity, and Policy i.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMWF9CEG,journalArticle,2016,"Garcia, Denia; Abascal, Maria",Colored Perceptions: Racially Distinctive Names and Assessments of Skin Color,American Behavioral Scientist,,"0002-7642, 1552-3381",10.1177/0002764215613395,http://journals.sagepub.com/doi/10.1177/0002764215613395,"Scholars are increasingly employing skin color measures to investigate racial stratification beyond the dimensions of self- or other-classification. Current understandings of the relationship between phenotypic traits, like skin color, and racial classification are incomplete. Scholars agree that perceptions of phenotypic traits shape how people classify others; it remains to be seen, however, whether racial classification in turn shapes people’s perceptions of phenotypic traits. The present study is based on an original survey experiment that tests whether assessments of others’ skin color are affected by a subtle racial cue, a name. Results indicate that skin color ratings are affected by the presence of a racially distinctive name: A significant share of people will rate the same face darker when that face is assigned a distinctively Hispanic name as opposed to a non-Hispanic name. In addition, ratings of male faces are more sensitive to racially distinctive names. The findings bear important lessons for our understanding of the social construction of race and its role in producing inequalities.",2016-04,7/16/21 16:06,7/16/21 16:06,3/28/21 22:08,420-441,,4,60,,American Behavioral Scientist,Colored Perceptions,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/68XATNNM/Garcia and Abascal - 2016 - Colored Perceptions Racially Distinctive Names an.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98VIUZNP,journalArticle,2015,"Abascal, Maria",Us and Them: Black-White Relations in the Wake of Hispanic Population Growth,American Sociological Review,,"0003-1224, 1939-8271",10.1177/0003122415587313,http://journals.sagepub.com/doi/10.1177/0003122415587313,"How will Hispanic population growth affect black-white relations in the United States? Research on intergroup relations operates within a two-group paradigm, furnishing few insights into multi-group contexts. This study is based on an original experiment that combines behavioral game and survey methods to evaluate the impact of perceived Hispanic growth on attitudes and behavior. Results reveal opposite reactions among blacks and whites. Whites in the baseline condition contribute comparable amounts to black and white recipients in a dictator game, whereas whites who first read about Hispanic growth contribute more to white recipients than to black ones. By contrast, blacks in the baseline condition contribute more to black recipients than to white ones, whereas blacks who first read about Hispanic growth contribute comparable amounts to black and white recipients. Patterns of identification mirror patterns of contributions: whites exposed to Hispanic growth identify relatively more strongly with their racial group than with their national group, whereas blacks exposed to Hispanic growth identify relatively more strongly with their national group than with their racial group. Together, these results suggest that people respond to the growth of a third group by prioritizing the most privileged identity to which they can plausibly lay claim and which also excludes the growing group.",2015-08,7/16/21 16:06,7/16/21 16:06,3/28/21 22:08,789-813,,4,80,,Am Sociol Rev,Us and Them,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/8EMGJ2NB/Abascal - 2015 - Us and Them Black-White Relations in the Wake of .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HQGU38BD,journalArticle,2017,"Abascal, Maria; Angel Centeno, Miguel","Who Gives, Who Takes? “Real America” and Contributions to the Nation–State",American Behavioral Scientist,,"0002-7642, 1552-3381",10.1177/0002764217720966,http://journals.sagepub.com/doi/10.1177/0002764217720966,"Although service to the nation–state features in academic and lay understandings of patriotism, claims of patriotism are rarely examined alongside contributions to the nation–state. The present study examines four behaviors—military enlistment, voting, monetary contributions, and census response—to evaluate the claim that certain parts of the United States, and specifically the communities of “real America,” contribute more than others to the country overall. Consistent with the words of several electoral candidates, ruralness, religiosity, political conservatism, and gun culture collectively identify a distinctive set of communities where residents are both more likely to report “American” as their ancestry and to vote for Republican presidential candidates, including Donald Trump. However, visual and statistical evidence undermine the claim that these communities contribute more than other parts of the country. Instead, and in several respects, these communities make smaller contributions to the nation–state than one would expect based on other characteristics. The findings undermine divisive claims about a “real” America that gives more than its “fair share.”",2017-07,7/16/21 16:06,7/16/21 16:06,3/28/21 22:08,832-860,,8,61,,American Behavioral Scientist,"Who Gives, Who Takes?",,,,,,,en,,,,,DOI.org (Crossref),,,,"/Users/gabe/Zotero/storage/XVPUD84C/Abascal and Angel Centeno - 2017 - Who Gives, Who Takes “Real America” and Contribut.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHPTB4A4,journalArticle,2016,"Howell, Junia; Emerson, Michael O",Racial Measures on Markers of Social Inequality,Sociology of Race and Ethnicity,,,,,"In recent years, researchers have increasingly noted the malleability of racial boundaries across time, context, and life course. Although this research has advanced our knowledge of the maintenance and perceptions of racial groups, it has introduced a new question: If we are attempting to best capture the actual variation in racial inequality, how should we operationalize race? Using the 2006 wave of the Portraits of American Life Study, a national-level, in-home survey with extensive race measures and oversamples of Blacks, Hispanics, and Asians, the authors identify five ways that race can be and to varying degrees is operationalized: census, combined race/ethnic, pentagon, triracial, and skin tone measures. Using the Vuong non-nested model tests, the authors compare the effectiveness of these five measurements in predicting three measures of social inequality: household income, education, and self-rated health. The authors find that overall, Hollinger’s ethnoracial pentagon is best able to capture existing inequality. Thus, for scholars attempting to understand variation in contemporary racial inequality, this research suggests that scholars should use five monoracial categories: White, Black, Hispanic, Native American and Asian.",2016,7/16/21 16:06,7/16/21 16:06,,14-30,,1,3,,,,,,,,,,en,,,,,Zotero,,,,/Users/gabe/Zotero/storage/TQS2Q9GW/Howell and Emerson - Racial Measures on Markers of Social Inequality.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BY7TTCV9,journalArticle,1994,"Armour, Jody D.","Race Ipsa Loquitur: Of Reasonable Racists, Intelligent Bayesians, and Involuntary Negrophobes",Stanford Law Review,,389765,10.2307/1229093,https://www.jstor.org/stable/1229093?origin=crossref,,1994-04,7/16/21 16:06,7/16/21 16:06,3/26/21 0:37,781,,4,46,,Stanford Law Review,Race Ipsa Loquitur,,,,,,,en,,,,,DOI.org (Crossref),,,,"/Users/gabe/Zotero/storage/3BC66LA6/Armour - 1994 - Race Ipsa Loquitur Of Reasonable Racists, Intelli.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z2S6QFUW,journalArticle,2014,"Carbado, Devon W.; Roithmayr, Daria",Critical Race Theory Meets Social Science,Annual Review of Law and Social Science,,"1550-3585, 1550-3631",10.1146/annurev-lawsocsci-110413-030928,http://www.annualreviews.org/doi/10.1146/annurev-lawsocsci-110413-030928,"Social science research offers critical race theory (CRT) scholars a useful methodology to advance core CRT claims. Among other things, social science can provide CRT with data and theoretical frameworks to support key empirical claims. Social psychology and sociology in particular can help to explain how race constructs key aspects of social experience—for example, the role of race in suspicion of African Americans as potentially criminal and the use of excessive force by law enforcement. At the same time, a collaboration between CRT and social science risks undermining CRT critiques of objectivity and neutrality and potentially limits the theory’s ability to combat structural forms of racial inequality. CRT scholars can mitigate these risks by choosing social science methods carefully and by recognizing that social science is only one among several modes of knowledge production.",11/3/14,7/16/21 16:06,7/16/21 16:06,3/26/21 0:32,149-167,,1,10,,Annu. Rev. Law. Soc. Sci.,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/RKR8TUQH/Carbado and Roithmayr - 2014 - Critical Race Theory Meets Social Science.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSW53K28,journalArticle,2013,"Krosch, Amy R.; Berntsen, Leslie; Amodio, David M.; Jost, John T.; Van Bavel, Jay J.",On the ideology of hypodescent: Political conservatism predicts categorization of racially ambiguous faces as Black,Journal of Experimental Social Psychology,,221031,10.1016/j.jesp.2013.05.009,https://linkinghub.elsevier.com/retrieve/pii/S0022103113001054,"According to the principle of hypodescent, multiracial individuals are categorized according to their most socially subordinate group membership. We investigated whether the tendency to apply this principle is related to political ideology. In three studies, participants categorized a series of morphed faces that varied in terms of racial ambiguity. In each study, self-reported conservatism (vs. liberalism) was associated with the tendency to categorize ambiguous faces as Black. Consistent with the notion that system justiﬁcation motivation helps to explain ideological differences in racial categorization, the association between conservatism and hypodescent was mediated by individual differences in opposition to equality (Study 2) and was stronger when U.S. participants categorized American than Canadian faces (Study 3). We discuss ways in which the categorization of racially ambiguous individuals in terms of their most subordinate racial group may exacerbate inequality and vulnerability to discrimination.",2013-11,7/16/21 16:06,7/16/21 16:06,3/26/21 0:09,1196-1203,,6,49,,Journal of Experimental Social Psychology,On the ideology of hypodescent,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/6WQPULHZ/Krosch et al. - 2013 - On the ideology of hypodescent Political conserva.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
